text,topic,blog_name,pet,word_count,chunk_size
"how to prolong your gerbil’s life to help prolong your gerbil’s life, it’s important to provide them with the best care you can. this includes a proper diet, socialization, veterinary care, and a clean, enriching environment. feed a proper diet : gerbils are omnivores, meaning they need both vegetable sources and animal protein. they should eat a pelleted food or lab block specifically made for gerbils, while fruits, veggies, hay, and other treats can be given in moderation (no more than 10% of their diet). keep them in pairs : gerbils are extremely social creatures. it’s best to bring home at least a pair of gerbils, preferably of the same sex, or have them spayed/neutered by a veterinarian to prevent them from reproducing. offer enough space : the bigger the enclosure, the better. gerbils may be small, but they are very active and need plenty of room to run around. a habitat of 20 gallons or larger is suitable for a pair of gerbils. exercise and enrichment : gerbils need daily exercise via running, gnawing, and playing. investing in enrichment items like play walls, hideouts, wood nibblers, and running wheels will keep your gerbil mentally and physically healthy. do regular health checks : gerbils are generally low-maintenance. keep a close eye on your gerbil’s well-being at home, though, to catch any early signs of a problem. if you notice changes in their eating or drinking, activity level, coat health, or overall demeanor, it’s best to have them seen by a veterinarian who is a specialist in exotic animal pets. following these guidelines and your veterinarian’s recommendations are the best ways that you can help care for and prolong the lifespan of your gerbil. if you are unsure if you are providing proper care for your gerbil, your veterinarian is a great resource as well.",How To Prolong Your Gerbil’s Life,Gerbils_How Long Do Gerbils Live,Gerbils,304,358
references biology of the gerbil. louisiana veterinary medical association.,References,Gerbils_How Long Do Gerbils Live,Gerbils,9,11
references written by emily johnson freelance writer,References,Gerbils_How Long Do Gerbils Live,Gerbils,7,7
"irritation of the face and nose in gerbils petmd.com /exotic/conditions/skin/c_ex_gb_porphyrin_deposits porphyrin deposits in gerbils porphyrin is a pigment, a component of blood cells that functions to bind metal in the blood cells such as iron and magnesium). it is also recognized for being the major component in the the coloring of blood, as porphyrin is a deep purple pigment. in gerbils, in times of stress, the unbound porphyrin can leave deposits in the tear ducts, causing red colored stains around the eyes and nose as the tinted tear fluid leaves the eyes. these stains are often mistaken for blood, and must be differentiated. porphyrin deposits cause skin irritation and the gerbil may scratch incessantly to relieve the itching. the causes for porphyrin deposits are related to stress and nutrition, which can generally be easily remedied, but complications can arise due to secondary bacterial infections that result from scratching at the skin until it is bleeding, leaving open sores.",Irritation of the Face and Nose in Gerbils Porphyrin Deposits in Gerbils,Gerbils_Irritation of the Face and Nose in Gerbils,Gerbils,158,178
symptoms and types reddish-brown deposits of porphyrin around the eyes and nostrils (may be mistaken for blood) skin irritation constant scratching of the face hair loss on the affected area red and inflamed skin around the face scabs/sores on the face bleeding from sores due to severe scratching secondary infections of the sores,Symptoms and Types,Gerbils_Irritation of the Face and Nose in Gerbils,Gerbils,53,56
"causes environment stress – not comfortable due to location; sudden move in location; temperature (too high or low) or light related humidity higher than 50 percent in the living area nutritional deficiency underlying illness inability to get along with cage mates – due to either incompatibility or aggression overcrowding – cage is not large enough, or there are too many gerbils in the same living space",Causes,Gerbils_Irritation of the Face and Nose in Gerbils,Gerbils,66,70
"diagnosis your veterinarian will perform a thorough physical exam on your gerbil, taking into account the background history of symptoms and possible underlying or environmental conditions that might have led to this condition. you will need to provide a thorough history of your gerbil's health leading up to the onset of symptoms. if secondary skin infection is present due to scratching induced sores, your veterinarian will need to take fluid and tissue samples for bacterial cultures in order to identify the specific bacteria for treatment.",Diagnosis,Gerbils_Irritation of the Face and Nose in Gerbils,Gerbils,85,91
"treatment your veterinarian will begin by cleaning the porphyrin deposits and irritated parts of the face and applying topical medications to encourage healing. if your gerbil has scratched to the point that there are lesions, further treatment will be necessary. unless veterinary treatment with antibiotic therapy is given to your gerbil, infections will progress, becoming more severe and possibly life-threatening. sores can be treated with local antibiotics for the infected site, and with systemic antibiotics to either treat the body if the infection has spread, or to prevent it from spreading.",Treatment,Gerbils_Irritation of the Face and Nose in Gerbils,Gerbils,91,101
"living and management it is important to provide appropriate and stable humidity and temperature at all times to prevent stress or other conditions. your gerbil should be provided a stress-free environment in which to recuperate and heal. this may mean removing the gerbil from the company of the other gerbils. other factors that will need to be taken into consideration are whether there is inter-gerbil aggression or lack of space. additional cages and separating some of the gerbils from each other can remove the stress. you may also need to make dietary changes while your gerbil is recovering. talk to your veterinarian about supportive diets, and if your are uncertain about it, how much space each individual gerbil needs to be comfortable.",Living and Management,Gerbils_Irritation of the Face and Nose in Gerbils,Gerbils,122,133
"prevention keep the humidity levels below 50 percent and the ambient temperature between 60-70°f, feed your gerbil a nutritionally balanced diet, and provide clean, sufficient living space and compatible cage mates. simple management techniques like these can help to prevent irritation of the face and nose due to porphyrin deposits in your gerbil.",Prevention,Gerbils_Irritation of the Face and Nose in Gerbils,Gerbils,53,60
"kidney disease in gerbils petmd.com /exotic/conditions/urinary/c_ex_gb_glomerulonephritis glomerulonephritis when the tiny blood vessels in the kidneys (or glomeruli) become inflamed, it is referred to as glomerulonephritis. this condition is generally seen in gerbils one year or older, damaging other parts of the kidney and ultimately leading to kidney failure. tumors and various kinds of infections are often responsible for glomerulonephritis but, fortunately, this kidney disease can be treated.",Kidney Disease in Gerbils Glomerulonephritis,Gerbils_Kidney Disease in Gerbils,Gerbils,67,79
symptoms lethargy depression dry skin coat severe thirst cloudy urine bloody urine frequent urination protein in urine (proteinuria) abnormally high body temperature swollen extremities puffy eyelids,Symptoms,Gerbils_Kidney Disease in Gerbils,Gerbils,26,27
"causes both malignant and benign tumors can lead to glomerulonephritis in a gerbil, as well as bacterial and viral infections, which spreads through the animal's blood and affect its kidneys.",Causes,Gerbils_Kidney Disease in Gerbils,Gerbils,30,34
"diagnosis other than observing the gerbil's symptoms, your veterinarian can diagnose the kidney disease by analyzing a sample of urine. gerbils with glomerulonephritis will have protein in their urine.",Diagnosis,Gerbils_Kidney Disease in Gerbils,Gerbils,29,33
"treatment your veterinarian might consider administering fluids and corticosteroids to the gerbil to help deal with glomerulonephritis, as well as antibiotics in cases of infection. if the gerbil is weak or lethargic, your veterinarian may recommend supportive therapy with vitamin b supplements. ",Treatment,Gerbils_Kidney Disease in Gerbils,Gerbils,42,46
"living and management the gerbil will need plenty of rest in a calm, clean and hygienic environment. your veterinarian will also formulate a special diet during recovery to keep the gerbil's blood levels of sodium and potassium low, so as to avoid any complications.",Living and Management,Gerbils_Kidney Disease in Gerbils,Gerbils,44,49
"prevention preventing glomerulonephritis is often not a very practical option, except when infectious agents are the reason for the development of the condition. treating infections quickly may help reduce the chance those infectious agents affect the kidneys, and thus lower the chances of glomerulonephritis development.",Prevention,Gerbils_Kidney Disease in Gerbils,Gerbils,45,49
"lead poisoning in gerbils petmd.com /exotic/conditions/digestive/c_ex_gb_lead_poisoning plumbism in gerbils the physical and neurological symptoms exhibited by an animal as the result of chronic lead poisoning are collectively classified as plumbism, a toxic state that occurs as the result of inhaling, ingesting, or absorbing through the skin toxic amounts of lead. gerbils can potentially develop lead poisoning by gnawing on objects that contain lead such as metal pipes, wood painted with lead-based paint, or food dishes that are painted with lead based paint. there are also less obvious sources such as lead-based insecticides, linoleum, fishing weights, batteries, and plumbing materials.",Lead Poisoning in Gerbils Plumbism in Gerbils,Gerbils_Lead Poisoning in Gerbils,Gerbils,99,117
"symptoms and types loss of appetite dehydration weight loss vomiting diarrhea loss of coordination (ataxia), confusion death",Symptoms and Types,Gerbils_Lead Poisoning in Gerbils,Gerbils,17,19
"causes there are numerous household materials that may expose your gerbil to toxic levels of lead, including: linoleum lead-based house paint residues or paint chips plumbing materials and supplies batteries insecticides cages lined with solder or lead paint (not frequently reported) improperly glazed ceramic food or water dishes",Causes,Gerbils_Lead Poisoning in Gerbils,Gerbils,48,52
,,Gerbils_Lead Poisoning in Gerbils,Gerbils,0,0
"diagnosis a differential diagnosis may be the best method for making the initial diagnosis. this process is guided by an inspection of the apparent outward symptoms as your veterinarian rules out each of the more common causes until the correct disorder is settled upon and can be treated appropriately. as part of a thorough examination, you will need to provide a history of your gerbil's health leading up to the onset of symptoms. it is therefore essential to make sure that you give an accurate account of your gerbil's history and living conditions to your veterinarian. a confirmatory diagnosis can be made by taking samples of blood and urine for laboratory testing. the level of lead that is found in the blood and urine will indicate your pet gerbil's level of toxicity. treatment there are specific antidotes that can be given to treat lead poisoning in some cases. your veterinarian will base this on the level of lead that is found in your gerbil's body. supportive care will be given by providing care to relieve the symptoms -- loss of appetite and dehydration will be treated with the aid of appetite stimulants, and fluid and electrolyte therapy.",Diagnosis Treatment,Gerbils_Lead Poisoning in Gerbils,Gerbils,197,213
"living and management take steps to remove the source of lead contamination from your gerbil's access. during the recovery period, you may need to adjust your gerbil's normal diet to encourage quick healing and intestinal recovery. follow the advice given by your veterinarian regarding diet and how you should arrange your gerbil's living space during its recovery from lead poisoning.",Living and Management,Gerbils_Lead Poisoning in Gerbils,Gerbils,60,67
"prevention the best way to prevent the possibility of lead poisoning for your gerbil is to make sure that your gerbil is kept in a room that is free of lead paint (risk of ingesting or inhaling microscopic paint chips is possible even in clean rooms). removing gerbils from rooms prior to it being fumigated (24-48 hours, at least) is also vital in preventing toxicity.",Prevention,Gerbils_Lead Poisoning in Gerbils,Gerbils,65,71
"mites in gerbils | petmd petmd.com /exotic/conditions/skin/c_ex_gb_mites what are mites in gerbils? gerbils are susceptible to small external parasites, or mites. mites can live on the fur, skin, or in the hair follicles and can cause itching and skin irritation. gerbil mites can usually be avoided with proper care and good hygiene. however, if a new gerbil is introduced into the home–he may bring an infection with him or if a gerbil is sick or stressed, mites can become a problem. the most common mites that effect gerbils are: demodex : a non-blood sucking mite that normally lives in the hair follicles of all mammals. a healthy immune system keeps the mites under control, but when a gerbil is sick or stressed these mites can flourish and cause skin irritation or infection. blood sucking mites (also known as tropical rat mite, spiny rat mite, house mouse mite): are considered zoonotic, which means they can live on and bite people and other animals. they are hardy arachnids and can live without feeding for up to 6 weeks. they can also travel several hundred feet when seeking hosts. these mites most commonly feed on your gerbil at night and hide in cracks, crevices, and bedding during the day.",Mites in Gerbils | PetMD What Are Mites in Gerbils?,Gerbils_Mites in Gerbils  PetMD,Gerbils,206,237
"symptoms of mites in gerbils mites are very small and can be difficult to see with the naked eye. you may notice white or dark colored specs of dust on your gerbil's fur, or tiny red bugs may be visible. in addition, you will most likely see the following signs: relentless itching and scratching red, inflamed skin or small red bumps dry or flaky skin alopecia (hair loss) particularly over the back, rump, and tail weakness or anemia due to blood loss",Symptoms of Mites in Gerbils,Gerbils_Mites in Gerbils  PetMD,Gerbils,82,92
"causes of mites in gerbils blood sucking mites are opportunistic parasites, meaning they will take any blood meal they can find. these mites pass easily from one gerbil to another during play, grooming, sleeping, fighting, or mating. before a new gerbil is introduced to the habitat, inspect their skin and fur closely for evidence of mites. never place objects such as sticks or twigs from outside in your gerbil’s enclosure. an unsanitary environment can also lead to a mite infestation as mites will thrive on debris found in dirty bedding. overcrowding can contribute to a mite infestation, but even a solitary gerbil can have a mite issue if his immune system is weakened from advanced age or an underlying illness.",Causes of Mites in Gerbils,Gerbils_Mites in Gerbils  PetMD,Gerbils,120,134
"how veterinarians diagnose mites in gerbils diagnosing mites begins at home when you first observe clinical signs of itching. a dampened white paper towel or tissue can be used to detect mites by dabbing it against suspicious areas on your gerbil. if you see black dots or tiny red mites on the paper, save it to show the veterinarian. when you take your gerbil to the veterinarian, be prepared to discuss their diet and habitat, as well as your cleaning routine. a veterinarian will start by examining your gerbil and may recommend diagnostic testing to identify the mites. a skin scrape test can be performed to identify microscopic evidence of mites. this is a non-invasive test where a blade is used to scrape skin cells and hair follicles onto a microscope slide. microscopic examination of the sample may reveal adult mites or their eggs, allowing the veterinarian to properly diagnose the presence of mites. a tape prep test is sometimes used as well. this test is done by placing a strip of clear tape on your gerbil’s fur or skin. mites and residue will stick to it, then it can also be examined microscopically.",How Veterinarians Diagnose Mites in Gerbils,Gerbils_Mites in Gerbils  PetMD,Gerbils,194,212
"treatment of mites in gerbils proper cleaning is essential to treating your gerbil's mite infestation. begin by removing all the bedding and chew toys from the cage and toss everything out in a sealed plastic bag. it is also recommended to throw out and replace any plastic cages or accessories. plastic is porous and will absorb bleach and other cleaning agents, making it dangerous for your gerbil to chew on even after it is rinsed and dried. steam clean remaining items or wash them in hot soapy water, then rinse and dry. a 1:10 solution of unscented bleach in water will kill mites if sprayed liberally in the cage and allowed to sit for at least 10 minutes. mite killing sprays and dusts containing pyrethrin, bifenthrin, or permethrin are also available. rinse the cage and dry thoroughly before placing new bedding in the cage. make sure there is no residual odor from cleaning chemicals before your gerbil is re-introduced to his fresh habitat. keep in mind that bleach can cause metal to rust, so it is best to replace metal exercise wheels, water bottle holders, and food bowls. gerbils can be treated for mites topically with medicated dusts, sprays, topical preventatives like selamectin, or treated internally with ivermectin. ivermectin can be injected by a veterinarian, but it is most commonly given by mouth at home. ivermectin solutions can be added to drinking water or administered orally by a syringe for 1-2 weeks.",Treatment of Mites in Gerbils,Gerbils_Mites in Gerbils  PetMD,Gerbils,242,270
"recovery and management of mites in gerbils it is vital to monitor your gerbil closely when dealing with a mite infection. weakness, lethargy, or decreased appetite are signs that your gerbil may be anemic from blood loss due to a heavy parasite load. some debilitated gerbils need supportive care such as fluid injections and syringe feedings until they are feeling better and eating on their own again. allow your gerbil to rest during treatment and keep handling to a minimum except for feeding and administering medications. prevent future mite infestations by keeping your gerbil’s cage clean and replacing bedding often. avoid wood-based bedding as it can be more difficult to keep clean. instead use paper-based substrate such as carefresh small animal bedding. it is always a good idea to quarantine new gerbils for 1-2 weeks before introducing them to your existing gerbils. during the quarantine period observe the new gerbil(s) for signs of mites such as hair loss or itching and treat accordingly before placing them in the combined gerbil habitat.",Recovery and Management of Mites in Gerbils,Gerbils_Mites in Gerbils  PetMD,Gerbils,171,188
"mites in gerbils faqs how do i get rid of mites on my gerbil? gerbil mites are best treated by a veterinarian with prescription ivermectin or topicals like selamectin. anti-parasitic sprays or dusts can also be used. habitats should be replaced or cleaned with a 1:10 solution of bleach and water, then rinsed thoroughly. do gerbil mites bite humans? while animals are their preferred host, gerbil mites are opportunistic feeders. this means they will take a blood meal from any source they find, including humans. what are the tiny red bugs on my gerbils? tiny red bugs on your gerbil are likely infectious skin mites. gerbil skin mites are usually transparent and can be difficult to see. however, when they bite and feed on an animal, their body will appear red from the blood meal. written by catherine gose, cvt veterinarian technician",Mites in Gerbils FAQs How do I get rid of mites on my gerbil? Do gerbil mites bite humans? What are the tiny red bugs on my gerbils?,Gerbils_Mites in Gerbils  PetMD,Gerbils,142,161
"nervous system disorders in gerbils petmd.com /exotic/conditions/neurological/c_ex_gb_epilepsy epilepsy in gerbils epileptic seizures are related to disorders of the nervous system, however, they may occur in the absence of any nervous system disease. they tend to manifest in gerbils that are suffering from stress, improper handling, or from a sudden change in living environment. in many cases a propensity to seizures is passed down from the parents; it is thought to be genetically based, in some cases. fortunately, epileptic seizures will not usually cause severe or permanent harm to the gerbil.",Nervous System Disorders in Gerbils Epilepsy in Gerbils,Gerbils_Nervous System Disorders in Gerbils,Gerbils,90,105
"symptoms and types signs of epilepsy often make an appearance around the time when a gerbil reaches puberty, 2-3 months of age. the seizure may be mild to severe and will recur at frequent intervals until the gerbil is about six months of age. the frequency and severity of the seizures typically begin to wane after the age of six months. mild seizures usually have the gerbil displaying a trance-like behavior with twitching of ears and whiskers. gerbils with severe seizures, other other hand, will suffer from convulsions, stiffening of muscles, and jerking of the whole body.",Symptoms and Types,Gerbils_Nervous System Disorders in Gerbils,Gerbils,97,109
"causes genetic predisposition is a leading cause of epilepsy. other potential factors include: sudden stress improper handling sudden change in living environment (e.g., move to a new home or location, cage change)",Causes,Gerbils_Nervous System Disorders in Gerbils,Gerbils,32,39
"diagnosis your veterinarian will most likely use differential diagnosis, a process that is guided by a deeper inspection of the apparent outward symptoms, ruling out each of the more common causes until the correct disorder is settled upon and can be treated appropriately. you will also need to provide a thorough history of your gerbil's health leading up to the onset of symptoms, with as much familial history as possible.",Diagnosis,Gerbils_Nervous System Disorders in Gerbils,Gerbils,70,76
"treatment in most cases, the only treatment that may be administered for epileptic seizures is a mild muscle relaxant, and this only in severe cases where the gerbil is suffering as a result of frequent and intense seizures. otherwise, the only other option is to wait until the gerbil grows out of the seizures as it ages.",Treatment,Gerbils_Nervous System Disorders in Gerbils,Gerbils,57,62
"living and management the severity of seizures usually decreases after the gerbil has reached the age of six months. to reduce the risk of seizures in your pet gerbil, keep it in a quiet and stress free environment, away from the heavily trafficked areas in the home, and avoid making any unnecessary changes in your gerbil's cage. make sure that the gerbil is being handled gently and with care -- you may need to restrict access from young children until both the child and gerbil are old enough for handling -- and consult with your veterinarian on the proper handling of epileptic gerbils. as much as possible, give your gerbil appropriate play materials and ways in which it can keep itself physically occupied and exercised by creating a calm but simulating natural environment to keep it happy and occupied.",Living and Management,Gerbils_Nervous System Disorders in Gerbils,Gerbils,139,150
"prevention handling your gerbil frequently in the first three weeks of its life will go a long way toward making it comfortable with being handled, so that it does not react with stress when you pick it up. if you have any questions as to proper handling of a gerbil, consult with someone who is familiar with gerbils, and talk to a veterinarian who show you proper handling methods.",Prevention,Gerbils_Nervous System Disorders in Gerbils,Gerbils,69,74
"obstructive ear disease in gerbils petmd.com /exotic/conditions/ears/c_ex_gb_aural_cholesteatoma aural cholesteatoma about half of gerbils two years or older develop masses in the inner ear. this condition is referred to as aural cholesteatoma and it occurs when an abnormal accumulation of keratin (a fibrous protein) produces epithelial cells in the middle ear, thus replacing the normal epithelium in the ear and even absorbing the bone beneath it. although not tumorous, these masses, called aural cholesteatomas, push the gerbil's eardrum deep into the ear canal, causing permanent damage to the inner ear. infections and heredity are both factors which can lead to the ear condition but through surgery, it can usually be corrected.",Obstructive Ear Disease in Gerbils Aural Cholesteatoma,Gerbils_Obstructive Ear Disease in Gerbils,Gerbils,110,126
symptoms hearing loss ear pain foul-smelling discharge from the ear obstruction in the nasal passage head tilting,Symptoms,Gerbils_Obstructive Ear Disease in Gerbils,Gerbils,17,18
"causes aural cholesteatoma occurs when an abnormal accumulation of keratin produces epithelial cells in the middle ear, and is generally due to do infections, especially inner ear infections. another common factor for this condition is heredity.",Causes,Gerbils_Obstructive Ear Disease in Gerbils,Gerbils,36,40
diagnosis your veterinarian will typically diagnose aural cholesteatoma through the symptoms and signs the gerbil displays. they may also conduct an x-ray or ear examination on the animal to confirm the diagnosis.,Diagnosis,Gerbils_Obstructive Ear Disease in Gerbils,Gerbils,32,35
"treatment surgical removal of the aural cholesteatoma mass is advocated in pet gerbils suffering from this condition, however, due to their small size it is not always practical. temporary relief can be provided to the gerbil by applying medicated ear drops or ointments. in addition to the ear drops, antiseptic or antibiotic washes of the ear can help remove discharge that has accumulated.",Treatment,Gerbils_Obstructive Ear Disease in Gerbils,Gerbils,63,69
"living and management if the gerbil undergoes surgery to remove the aural cholesteatoma mass, your veterinarian will give you instructions and medication for a speedy recovery. otherwise, the gerbil needs plenty of rest.",Living and Management,Gerbils_Obstructive Ear Disease in Gerbils,Gerbils,33,37
"prevention prevention is not a viable option for aural cholesteatoma. however, taking steps to make sure that any ear infection is immediately diagnosed and promptly treated can reduce the chances of cholesteatomas developing in the ear.",Prevention,Gerbils_Obstructive Ear Disease in Gerbils,Gerbils,36,39
"pinworms in gerbils petmd.com /exotic/conditions/digestive/c_ex_gb_pinworms endoparasitic worm infection there are many different kinds of endoparasitic worm infections. one very common intestinal parasite infection in pet gerbils is due to pinworms. and much like in other animals, gerbils can contract the pinworms in many ways, including ingesting contaminated water or food. fortunately, a gerbil suffering from a pinworm infection can be easily treated.",Pinworms in Gerbils Endoparasitic Worm Infection,Gerbils_Pinworms in Gerbils,Gerbils,62,73
"symptoms a gerbil suffering from a pinworm infection will generally display no external signs, however, it may be dehydrated or have diarrhea. in severe cases, the gerbil may have little appetite and eat less, which leads to weight loss and muscle wasting. moreover, if left untreated for a long period of time, the gerbil may develop a swollen abdomen and a rough hair coat; swelling may also occur in its extremities, such as the feet.",Symptoms,Gerbils_Pinworms in Gerbils,Gerbils,75,86
"causes gerbils can contract pinworms by coming in contact with an infected animal's feces, or ingesting contaminated food or water. cockroaches, beetles or fleas can also spread this infection.",Causes,Gerbils_Pinworms in Gerbils,Gerbils,29,34
diagnosis a veterinarian will typically diagnose pinworm infections by microscopically examining the gerbil's fecal matter for pinworm eggs.,Diagnosis,Gerbils_Pinworms in Gerbils,Gerbils,18,20
"treatment there are several antihelminthic drugs your veterinarian can prescribe which are formulated to kill pinworms. these drugs can be either mixed in your gerbil's food or water. if the gerbil has had the pinworm infection for an extended period of time, it may need fluid and electrolyte therapy. your veterinarian may even recommend vitamin and mineral supplements to stabilize the gerbil and improve its overall health.",Treatment,Gerbils_Pinworms in Gerbils,Gerbils,67,73
"living and management the gerbil's cage should be thoroughly cleaned and disinfected, as there may still be pinworm eggs in the cage. otherwise, follow your veterinarian's supportive care regimen and keep the gerbil's living environment pest-free. ",Living and Management,Gerbils_Pinworms in Gerbils,Gerbils,36,44
"prevention maintaining good sanitation and hygienic condition inside the gerbil’s cage, as well as regular deworming treatments, will help prevent tapeworm infections in gerbils.",Prevention,Gerbils_Pinworms in Gerbils,Gerbils,24,28
"rough hair coat in gerbils petmd.com /exotic/conditions/skin/c_ex_gb_rough_hair_coat skin problems and rough hair in gerbils rough hair coat is not a diseased condition in and of itself, but is a common external symptom that accompanies many diseases and disorders in gerbils. a rough hair coat is seen in association with various infectious diseases, parasitic worms, and nutritional disorders. however, the primary cause for rough hair coat in gerbils is the physical environmental condition in which the gerbil is being housed. this is especially relevant when humidity levels are too high, which will cause the hair coat to become rough and matted. rough hair coat is also often manifested in gerbils that are kept in tanks without adequate ventilation.",Rough Hair Coat in Gerbils Skin Problems and Rough Hair in Gerbils,Gerbils_Rough Hair Coat in Gerbils,Gerbils,117,131
"symptoms and types skin and fur appear dull rough and matted hair scaling, flaking skin (due to excessive dryness) skin irritation and redness (on occasion)",Symptoms and Types,Gerbils_Rough Hair Coat in Gerbils,Gerbils,25,28
"causes rough hair coat is seen mainly as a result of various infectious diseases, parasitic worm load, and nutritional disorders. however, it can also be related to the gerbil's living area and environment. if, for example, the humidity levels are too high or the tanks do not have adequate ventilation, the gerbil may develop rough hair coat.",Causes,Gerbils_Rough Hair Coat in Gerbils,Gerbils,57,67
"diagnosis you will need to provide a thorough history of your gerbil's health leading up to the onset of symptoms to give your veterinarian a starting point toward making an initial diagnosis. because there are so many possible causes for this condition, your veterinarian will most likely use differential diagnosis, a process that is guided by a deeper inspection of the apparent outward symptoms, ruling out each of the more common causes until the correct disorder is settled upon and can be treated appropriately. however, to truly identify the underlying cause laboratory work such as a complete blood profile, urinalysis, skin scrapings, and microscopic examinations of hair samples may be necessary.",Diagnosis,Gerbils_Rough Hair Coat in Gerbils,Gerbils,111,122
"treatment if there is itching and swelling present, antihistaminic and corticosteroid agents can be administered to help relieve the discomfort for your gerbil. further treatment will ultimately depend on the underlying cause of the condition. if it is attributed to parasites or worm infestation, for example, your veterinarian will prescribe anthelmintic medication. conditions that are related to an infection, meanwhile, will require antibiotics, which must always be administered with special care, as antibiotics can be lethal to small animals even when administered appropriately. additional therapy may include prescribed vitamin and mineral supplements to strengthen your gerbil's immune system and hair coat.",Treatment,Gerbils_Rough Hair Coat in Gerbils,Gerbils,101,114
"living and management make sure that you follow all of your veterinarian's advice and recommendations, and pay close attention to instructions that are given regarding antibiotic administration, contacting your veterinarian immediately if your gerbil appears to take a turn for the worse. if the gerbil is found to be suffering from an infection or parasitic affection, you will also need to discard all of the bedding materials, replacing them with new, freshly laundered bedding materials. in addition, your gerbil's cage, food dishes and any other climbing or exercise equipment will need to be thoroughly cleaned, and toys will need to be discarded if they cannot be sanitized sufficiently. in some cases, the sole cause of the rough hair coat can be traced back to ambient temperature and humidity levels in the gerbil's living environment. this can be easily rectified. keeping the cage well-ventilated, at a stable temperature, and at optimum humidity levels below 50 percent can eliminate the rough hair coat and prevent it from developing again.",Living and Management,Gerbils_Rough Hair Coat in Gerbils,Gerbils,167,188
"prevention maintaining optimum environmental conditions for your pet gerbil, as well as treating any disease and disorder that may be affecting your pet gerbil can help to reduce the chances of developing a rough hair coat.",Prevention,Gerbils_Rough Hair Coat in Gerbils,Gerbils,36,38
"tail slip in gerbils petmd.com /exotic/conditions/skin/c_ex_gb_tail_slip what is tail slip in gerbils? tail slip in gerbils occurs when there is an injury or trauma to the tail. the injury can cause the skin of the tail to pull away from the underlying muscle and bone. the gerbil may lose part or all of their tail, which will not re-grow. tail slip is not very common and can be avoided by practicing proper handling techniques and providing a safe enclosure.",Tail Slip in Gerbils What is Tail Slip in Gerbils?,Gerbils_Tail Slip in Gerbils,Gerbils,79,90
"symptoms of hair loss : the first sign of tail slip is often subtle and appears as a bald spot or hair loss on the tail. loose skin : soon after, the skin of the tail may become loose because the underlying connective tissue is damaged. exposed tissue : because the loose skin is separated from the normal blood supply, it will begin to die and can fall off, leaving the muscles and bones of the tail exposed. infection : without the protective cover of the skin, the gerbil's exposed tail tissue can become infected and start to decay.",Symptoms of Tail Slip in Gerbils,Gerbils_Tail Slip in Gerbils,Gerbils,99,108
"causes of tail slip in gerbils is a built-in defense mechanism. when a predator in nature chases a gerbil and grabs their tail, the skin will come off, but the gerbil survives and escapes to freedom. as pets, the most common reason gerbils lose their tails is improper handling. an adult gerbil's tail is approximately four inches long, and because gerbils are so fast it can be tempting to grab them by their tail. however, it is important to always use your hands to scoop up your gerbil. never pick up a gerbil by their tail. gerbils are communal animals and are usually happiest living in the company of other gerbils. however, occasional fighting can happen, resulting in bite wound on the tail. tail injuries can also occur within your gerbil's cage. ensure the exercise wheel is solid, such as the kaytee silent spinner small animal wheel, as a gerbil's tail will often get caught in wire or mesh exercise wheels. inspect your gerbil's cage regularly, looking for sharp edges or other hazards that may cause injury. ",Causes of Tail Slip in Gerbils,Gerbils_Tail Slip in Gerbils,Gerbils,177,203
"how veterinarians diagnose while tail loss itself is not fatal for a gerbil, the resulting infection can enter the bloodstream and cause sepsis. sepsis (a system wide bacterial infection) can kill a small animal within days. therefore, it is vital to have a veterinarian examine your gerbil at the first sign of a tail injury. during the physical exam, the veterinarian will assess the gerbil's overall health and check for other possible causes of hair loss. in some cases, a skin scraping test may be recommended to rule out skin mites. be prepared to discuss your gerbil's diet and general care at home as poor nutrition or husbandry can also lead to hair loss.",How Veterinarians Diagnose Tail Slip in Gerbils,Gerbils_Tail Slip in Gerbils,Gerbils,114,127
"treatment of once other health issues have been ruled out and the veterinarian diagnoses a tail injury, the treatment is often to amputate part or all of the tail. amputation will prevent infection from spreading to the body and also prevent further trauma from the gerbil chewing at the injured site. the veterinarian will likely prescribe an oral antibiotic to address infection and prevent sepsis.",Treatment of Tail Slip in Gerbils,Gerbils_Tail Slip in Gerbils,Gerbils,65,69
"recovery and management of if you notice a tail injury on your gerbil, immediately separate him from other animals in a clean tank with plenty of soft bedding such as carefresh small animal bedding. avoid wood- based bedding as it can harbor bacteria and contribute to infection. this same set up can then be used as a recovery cage after your gerbil is treated. call your veterinarian and ask if they can examine your gerbil and assess his tail injury. many animal hospitals only see cats and dogs, so be sure to find an exotic pet veterinarian that is knowledgeable about gerbils. it is important to limit physical activity while recovering from a tail injury. do not allow access to exercise wheels, tunnels, ramps, or ladders. ensure bedding is clean, and food and water are easily available. you will likely have to administer a liquid antibiotic into your gerbil’s mouth with a syringe twice a day. other than giving medications, keep handling of your gerbil to a minimum to reduce stress and allow him to rest. once medications are finished and your gerbil is healed, he can return to his regular enclosure.",Recovery and Management of Tail Slip in Gerbils,Gerbils_Tail Slip in Gerbils,Gerbils,192,213
